Annﻠe;ind_SST;SST_1;SST_2;SST_3;MOY_SST_2;MOY_SST_3
1960;21.0105;20.82541667;20.98391667;20.80775;20.90466667;20.87236111
1961;20.87741667;21.0105;20.82541667;20.98391667;20.91795834;20.93994445
1962;20.85233333;20.87741667;21.0105;20.82541667;20.94395834;20.90444445
1963;20.78725;20.85233333;20.87741667;21.0105;20.864875;20.91341667
1964;20.68983333;20.78725;20.85233333;20.87741667;20.81979167;20.839
1965;20.62833333;20.68983333;20.78725;20.85233333;20.73854167;20.77647222
1966;20.79483333;20.62833333;20.68983333;20.78725;20.65908333;20.70180555
1967;20.69516667;20.79483333;20.62833333;20.68983333;20.71158333;20.70433333
1968;20.62858333;20.69516667;20.79483333;20.62833333;20.745;20.70611111
1969;20.8075;20.62858333;20.69516667;20.79483333;20.661875;20.70619444
1970;20.6975;20.8075;20.62858333;20.69516667;20.71804167;20.71041667
1971;20.49091667;20.6975;20.8075;20.62858333;20.7525;20.71119444
1972;20.4515;20.49091667;20.6975;20.8075;20.59420834;20.66530556
1973;20.59175;20.4515;20.49091667;20.6975;20.47120834;20.54663889
1974;20.38958333;20.59175;20.4515;20.49091667;20.521625;20.51138889
1975;20.51358333;20.38958333;20.59175;20.4515;20.49066667;20.47761111
1976;20.451;20.51358333;20.38958333;20.59175;20.45158333;20.49830555
1977;20.62825;20.451;20.51358333;20.38958333;20.48229167;20.45138889
1978;20.64058333;20.62825;20.451;20.51358333;20.539625;20.53094444
1979;20.7125;20.64058333;20.62825;20.451;20.63441667;20.57327778
1980;20.80725;20.7125;20.64058333;20.62825;20.67654167;20.66044444
1981;20.75208333;20.80725;20.7125;20.64058333;20.759875;20.72011111
1982;20.61866667;20.75208333;20.80725;20.7125;20.77966667;20.75727778
1983;20.76333333;20.61866667;20.75208333;20.80725;20.685375;20.726
1984;20.62941667;20.76333333;20.61866667;20.75208333;20.691;20.71136111
1985;20.57258333;20.62941667;20.76333333;20.61866667;20.696375;20.67047222
1986;20.56775;20.57258333;20.62941667;20.76333333;20.601;20.65511111
1987;20.91208333;20.56775;20.57258333;20.62941667;20.57016667;20.58991667
1988;20.84308333;20.91208333;20.56775;20.57258333;20.73991667;20.68413889
1989;20.76816667;20.84308333;20.91208333;20.56775;20.87758333;20.77430555
1990;20.81541667;20.76816667;20.84308333;20.91208333;20.805625;20.84111111
1991;20.7245;20.81541667;20.76816667;20.84308333;20.79179167;20.80888889
1992;20.64016667;20.7245;20.81541667;20.76816667;20.76995834;20.76936111
1993;20.65141667;20.64016667;20.7245;20.81541667;20.68233334;20.72669445
1994;20.68816667;20.65141667;20.64016667;20.7245;20.64579167;20.67202778
1995;21.00275;20.68816667;20.65141667;20.64016667;20.66979167;20.65991667
1996;20.8125;21.00275;20.68816667;20.65141667;20.84545834;20.78077778
1997;20.925;20.8125;21.00275;20.68816667;20.907625;20.83447222
1998;21.24841667;20.925;20.8125;21.00275;20.86875;20.91341667
1999;20.99675;21.24841667;20.925;20.8125;21.08670834;20.99530556
2000;20.90975;20.99675;21.24841667;20.925;21.12258334;21.05672222
2001;21.00316667;20.90975;20.99675;21.24841667;20.95325;21.05163889
2002;20.952;21.00316667;20.90975;20.99675;20.95645834;20.96988889
2003;21.12116667;20.952;21.00316667;20.90975;20.97758334;20.95497222
2004;21.09891667;21.12116667;20.952;21.00316667;21.03658334;21.02544445
2005;21.18741667;21.09891667;21.12116667;20.952;21.11004167;21.05736111
2006;21.16525;21.18741667;21.09891667;21.12116667;21.14316667;21.13583334
2007;21.04891667;21.16525;21.18741667;21.09891667;21.17633334;21.15052778
2008;21.0425;21.04891667;21.16525;21.18741667;21.10708334;21.13386111
2009;20.94625;21.0425;21.04891667;21.16525;21.04570834;21.08555556
2010;21.25966667;20.94625;21.0425;21.04891667;20.994375;21.01255556
2011;21.01483333;21.25966667;20.94625;21.0425;21.10295834;21.08280556
2012;21.12925;21.01483333;21.25966667;20.94625;21.13725;21.07358333
2013;21.08525;21.12925;21.01483333;21.25966667;21.07204167;21.13458333
2014;21.0235;21.08525;21.12925;21.01483333;21.10725;21.07644444
2015;21.0385;21.0235;21.08525;21.12925;21.054375;21.07933333
